Station,Comments,Time (hh:mm),Time (mm),Reading 1,Reading 2,Reading 3,Reading 4,Average Reading,Standard Deviation,Relative Gravitational Field (mGal),Uncorrected Gravitational Anomaly in Relation to Reference Station (mGal),Temporal Variations (mGal),Instrumental and Attraction Derivation (mGal),Latitude Correction (m),Elevation in Relation to Reference Station (m),Altitude in Relation to Average Sea Level (m),Free Air Correction (mGal),Bouguer Correction (mGal),Bouguer Relative Gravitational Field (mGal),Bouguer Anomaly in Relation to Reference Station (mGal),Regional Anomaly (mGal),Residual Anomaly (mGal),Purpose,Area,POI,Address,Date of Survey,Operation Temperature (F)
400,bye,0.716666667,196,1802,1802,1802,1802.1,1802.025,0.043301270189183,731.137348433333,-0.172268366666572,-999,0.092416912000047,-0.268603240862162,1.035896136,-0.33779747232,729.906095765182,-0.69418070148447,0.24,-0.93418070148447,,,,,,,,
420,yay,0.725694444,209,1803.8,1803.6,1804,1803.7,1803.775,0.14790199457751,731.329883666667,0.537071966666758,-999,0.108225068000055,-0.28203340290527,0.2985853128,-0.097366290336,731.109937745775,0.509661279107945,0.252,0.257661279107945,,,,,,,,
440,nay,0.732638889,219,1804.2,1804.4,1804.1,1804.3,1804.25,0.11180339887504,731.329883666667,0.729607200000032,-999,0.120385188000062,-0.295463564948378,0.1275554896,-0.041594828352,731.419001382367,0.818724915700386,0.264,0.554724915700386,,,,,,,,
460,sup,0.744444444,236,1804.3,1804.3,1804.2,1804.2,1804.25,0.049999999999955,731.360283966667,0.729607200000032,-999,0.141057392000072,-0.308893726991486,0.1660650664,-0.054152494368,731.385807429626,0.785530962959456,0.276,0.509530962959456,,,,,,,,
480,hello,0.750694444,245,1804.2,1804.4,1804.3,1804.4,1804.325,0.082915619758913,731.897355933333,0.760007500000029,-999,0.152001500000078,-0.322323889034594,-0.0006443568,0.000210119616,731.531040592885,0.930764126218492,0.288,0.642764126218492,,,,,,,,
500,bye,0.755555556,252,1805.6,1805.5,1805.7,1805.8,1805.65,0.111803398874989,730.782678266667,1.29707946666679,-999,0.160513584000082,-0.335754051077702,-0.65185578,0.2125649736,732.511887206811,1.9116107401444,0.3,1.6116107401444,,,,,,,,
0,bye,0.768055556,270,1802.8,1803,1802.9,1802.9,1802.9,0.070710678118671,730.782678266667,0.182401800000093,-999,0.182401800000093,0,-999,-999,-999,-999,-999,-999,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
,0.4053373,730.600216385,0,,,,,,,,,,,,,,,,20,0.027272727272727,,,,,,,,
,,730.600216385,0,,,,,0,0,,,,0,0,,,,,40,0.054545454545455,,,,,,,,
,,730.5495492225,0.050667162499963,,,,0,20,0.000844452777775,,0.182401800000093,0.011484557777787,20,-0.013433627878348,,0,0,,60,0.081818181818182,,,,,,,,
